City,Latitude,Longitude
Aachen,50.776351,6.083862
Aschaffenburg,49.9740542,9.1493636
Augsburg,48.3668041,10.8986971
Bamberg,49.8916044,10.8868478
Bayreuth,49.9427202,11.5763079
Berlin,52.5170365,13.3888599
Bielefeld,52.0191005,8.531007
Bochum,51.4818111,7.2196635
Bonn,50.735851,7.10066
Bottrop,51.521581,6.929204
Brandenburg an der Havel,52.4108261,12.5497933
Braunschweig,52.2646577,10.5236066
Bremen,53.0758196,8.8071646
Bremerhaven,53.5505392,8.5851945
Celle,52.624056,10.081052
Chemnitz,50.8322608,12.9252977
Cottbus,51.7567447,14.3357307
Darmstadt,49.8851869,8.6736295
Dessau-Ro�lau,51.8465924,12.2312238
Dortmund,51.5142273,7.4652789
Dresden,51.0493286,13.7381437
Duisburg,51.434999,6.759562
D�sseldorf,51.2254018,6.7763137
Erfurt,50.9777974,11.0287364
Erlangen,49.5928616,11.0056
Essen,51.4582235,7.0158171
Esslingen am Neckar,48.7427584,9.3071685
Flensburg,54.7833021,9.4333264
Frankenthal (Pfalz),49.5445804,8.3540061
Frankfurt (Oder),52.3412273,14.549452
Frankfurt am Main,50.1106444,8.6820917
Freiburg im Breisgau,47.9960901,7.8494005
Friedrichshafen,47.6500279,9.4800858
Fulda,50.5542328,9.6770448
F�rth,49.4772475,10.9893626
Gelsenkirchen,51.5110321,7.0960124
Gera,50.8772301,12.0796208
Gie�en,50.5862066,8.6742306
G�rlitz,51.1563185,14.991018
G�ttingen,51.5328328,9.9351811
Hagen,51.3582945,7.473296
Halle an der Saale,51.4775111,11.9872325
Hamburg,53.550341,10.000654
Hamm,51.6804093,7.815197
Hanau,50.132881,8.9169797
Hannover,52.3744779,9.7385532
Heidelberg,49.4093582,8.694724
Heilbronn,49.142291,9.218655
Herne,51.5380394,7.219985
Hildesheim,52.1521636,9.9513046
Ingolstadt,48.7630165,11.4250395
Iserlohn,51.3746778,7.6999713
Jena,50.9281717,11.5879359
Kaiserslautern,49.4432174,7.7689951
Karlsruhe,49.0068705,8.4034195
Kassel,51.3154546,9.4924096
Kempten (Allg�u),47.7267063,10.3168835
Kiel,54.3227085,10.135555
Koblenz,50.3533278,7.5943951
K�ln,50.938361,6.959974
Konstanz,47.659216,9.1750718
Krefeld,51.3331205,6.5623343
Landshut,48.536217,12.1516551
Leipzig,51.3406321,12.3747329
Leverkusen,51.0324743,6.9881194
L�beck,53.866444,10.684738
Ludwigsburg,48.8953937,9.1895147
Ludwigshafen am Rhein,49.4704113,8.4381568
L�neburg,53.248706,10.407855
Magdeburg,52.1315889,11.6399609
Mainz,50.0012314,8.2762513
Mannheim,49.4892913,8.4673098
Marburg,50.8090106,8.7704695
Moers,51.451283,6.62843
M�nchengladbach,51.1946983,6.4353641
M�lheim a.d.Ruhr,51.4272925,6.8829192
M�nchen,48.1371079,11.5753822
M�nster,51.9625101,7.6251879
Neubrandenburg,53.5574458,13.2602781
Neum�nster,54.0757442,9.9815377
Neuss,51.1981778,6.6916476
Neu-Ulm,48.3954965,10.00589
N�rnberg,49.453872,11.077298
Oberhausen,51.4696137,6.8514435
Offenbach am Main,50.1055002,8.7610698
Offenburg,48.4716556,7.944378
Oldenburg (Oldenburg),53.1389753,8.2146017
Osnabr�ck,52.2719595,8.047635
Paderborn,51.7189596,8.7648698
Passau,48.5748229,13.4609744
Pforzheim,48.8908846,8.7029532
Plauen,50.4950632,12.1346523
Potsdam,52.4009309,13.0591397
Recklinghausen,51.6143815,7.1978546
Regensburg,49.0195333,12.0974869
Remscheid,51.1798706,7.1943544
Reutlingen,48.4919508,9.2114144
Rostock,54.0924445,12.1286127
Saarbr�cken,49.234362,6.996379
Salzgitter,52.1503721,10.3593147
Schweinfurt,50.0499945,10.233302
Schwerin,53.6288297,11.4148038
Siegen,50.8749804,8.0227233
Solingen,51.1721629,7.0845893
Speyer,49.3165553,8.433615
Stralsund,54.3096314,13.0820846
Stuttgart,48.7784485,9.1800132
Trier,49.7596208,6.6441878
T�bingen,48.5236164,9.0535531
Ulm,48.3974003,9.9934336
Villingen-Schwenningen,48.0632359,8.4945022
Weimar,50.9810486,11.3296637
Wetzlar,50.5525346,8.5074406
Wiesbaden,50.0820384,8.2416556
Witten,51.4370171,7.335124
Wolfsburg,52.4205588,10.7861682
Wuppertal,51.264018,7.1780374
W�rzburg,49.79245,9.932966
Zwickau,50.7185043,12.4939267
