NUTS Region;Average Temperature
Canarias;18.705968809909507
Região Autónoma da Madeira (PT);15.650520324707031
Kypros;18.92661569335244
Malta;19.605026245117188
Notio Aigaio;15.458120282491048
Algarve;17.432959775129955
Ionia Nisia;16.722751224742215
Área Metropolitana de Lisboa;17.244411063916754
Illes Balears;17.33318633659213
Ipeiros;13.641173492778432
Dytiki Makedonia;11.936669133373142
Voreio Aigaio;15.89337420463562
Corse;14.453706146568381
Molise;14.997532454403965
La Rioja;12.048272064753942
Umbria;13.855056710295624
País Vasco;12.981450667748085
Marche;14.24275290637935
Cantabria;12.384096034935542
Liguria;12.936180098851521
Bucuresti - Ilfov;12.002903211684455
Zahodna Slovenija;9.773332157354245
Valle d'Aosta/Vallée d'Aoste;3.4669835567474365
Sjeverna Hrvatska;12.240477204322815
Friuli-Venezia Giulia;10.724374548248623
Provincia Autonoma di Trento;7.547208199933381
Grad Zagreb;12.808629417419434
Ticino;6.778005585525975
Région lémanique;5.412946969849392
Provincia Autonoma di Bolzano/Bozen;4.7065398308104305
Kärnten;7.280478570078101
Zentralschweiz;6.448335750430238
Burgenland (AT);11.604725505994713
Vorarlberg;6.27319407860438
Salzburg;6.030120917585458
Pest;12.298426183064779
Liechtenstein;9.446160078048706
Nordwestschweiz;10.231250228881835
Zürich;10.189675785246349
Schwaben;8.815582851725301
Alsace;11.296419625235076
Budapest;12.70533529917399
Freiburg;9.56415512709491
Tübingen;9.030698165026578
Bratislavský kraj;11.227977328830296
Wien;12.070354302724203
Karlsruhe;10.339700163864508
Oberpfalz;9.017183804712376
Mittelfranken;9.585311868455674
Strední Morava;8.964195548978626
Rheinhessen-Pfalz;11.057875777399817
Saarland;10.579582244157791
Darmstadt;10.555435221245949
Moravskoslezsko;8.753357438480153
Prov. Luxembourg (BE);9.438856342382598
Luxembourg;9.804006735483805
Trier;9.619078122652494
Unterfranken;9.838251833482222
Koblenz;9.949842204650244
Oberfranken;8.87676872147454
Prov. Namur;10.400608332260795
Severozápad;8.714475159251363
Praha;10.947742938995361
Prov. Hainaut;11.14298246304194
Opolskie;9.936794434824298
Prov. Liège;9.937891668202926
Chemnitz;8.882645828779353
Köln;10.664341625414396
Gießen;9.55452275611985
Kassel;9.270543626211222
Prov. Brabant wallon;10.985573359898158
Prov. West-Vlaanderen;11.642793128364964
Prov. Oost-Vlaanderen;11.386576461791993
Prov. Vlaams-Brabant;11.225974044799806
Prov. Limburg (BE);11.27740443093436
Arnsberg;9.540238614265736
Dresden;9.854104298465657
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;11.156345844268799
Limburg (NL);11.182573318481445
Prov. Antwerpen;11.268772271963266
Leipzig;10.458646063711129
Zeeland;11.430211475917272
Noord-Brabant;11.103922102186415
Braunschweig;9.85552814466144
Detmold;10.235923789013391
Münster;10.795279733427279
Zuid-Holland;11.11110075508676
Gelderland;10.738949803338535
Hannover;10.378368220121963
Utrecht;10.917374769846598
Warszawski stoleczny;9.2965494868267
Overijssel;10.550313568115234
Noord-Holland;10.876658555937976
Flevoland;10.693621317545572
Berlin;10.730386880727915
Drenthe;10.361317534195749
Friesland (NL);10.46962481604682
Groningen;10.334623217582703
Bremen;10.413578192392984
Hamburg;10.205801183527166
Sostines regionas;7.553555359159197
Sjælland;9.42781702001044
Hovedstaden;9.34236728443819
Nordjylland;8.791407704353333
Stockholm;7.505936300053316
Helsinki-Uusimaa;6.311618993746355
Åland;7.194748034844031
